layer	file_id	file_name	data_type	data_format	sample_barcode
rna	04ab577f-fe6f-4f01-860f-f74c8a0f8f8b	b6bc859c-c245-47ba-9c47-92c1c33d42c8.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-1489
rna	006d3450-dab8-487d-a2f2-50fdd64c0a6b	c42ab178-9ded-405c-8eab-69583c4b1ad0.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-04-1347
rna	9dece4a3-ecef-469d-a882-dfea3e2c61df	161a0325-0f8a-4d41-be34-6740025c4435.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-0916
rna	29524454-6515-44ba-93d0-56df19ee83a4	207cda7f-138a-4ae2-a6fd-90a003a94073.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-1477
rna	f324a574-e355-489a-b7d1-6af7269d8927	9fcfa97a-90b3-4e91-9f4d-7001fbd02fc7.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-0768
rna	d7cba469-98d9-406e-aaf6-fa616f3b49ad	9d472afb-5cd1-41d2-b188-fa9f8b706d35.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-1510
rna	139a7bac-e37e-4fb2-9b42-be1b1d62f7f1	524a6f24-3903-46f1-ae2e-eb83a522a0c0.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-09-2051
rna	c057a66e-2775-4fd6-b6e8-f4fb6350136e	36aef44f-03b6-4aff-bc8a-dfbc664dd2d0.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-04-1356
rna	7cec3094-cc88-4107-b864-84a23bde14b4	06bfef84-bc96-4d26-a658-3da2432dd948.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-23-1021
rna	826d878e-40e5-461a-8b14-16a50c4b60b1	abe4d03a-acbc-424b-8e1c-b79f5476e55a.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-1494
rna	c4a162f4-ea15-409c-af3a-ebfc257b42bc	872c6084-34b9-4037-88bd-b6cb69b4bf1f.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-1492
rna	f9042b6c-2394-498e-9362-cdf70beafce7	78b8f856-9896-41af-bb90-e35569bacc42.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-04-1362
rna	eb199fe3-be92-4d0f-a831-3e9f20ef32e0	5943d83c-7366-4b4a-9815-c5459003a10e.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-1497
rna	9b75f0e7-ded6-4b10-8c40-c6c6977d9ced	c5de138c-103d-4a75-a2eb-7279c1046d0d.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-0800
rna	04ebea53-3ad2-47ae-b24c-22001c6cd300	7d8d9d6c-b701-4eda-8e36-c36ca7c90903.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-20-0987
rna	f84fd3bb-2d07-4d43-873b-02bc312499bb	808d8dcb-f3e5-4d7e-8b70-90a254ebc4e2.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-1483
rna	56376509-9721-4e6d-9e53-378efbe43d63	c2be3377-97dd-42be-887d-c9bf57034c98.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-04-1361
rna	e070fb7d-674e-4863-a65a-a5be0419d67b	0855ce26-6e6d-44aa-902d-da4927765dd4.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	TSV	TCGA-13-0890
