PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.020000000000000042,0.020000000000000042
PC2,0.02000000000000004,0.04000000000000008
PC3,0.020000000000000028,0.06000000000000011
PC4,0.02000000000000001,0.08000000000000013
PC5,0.02000000000000001,0.10000000000000014
PC6,0.02000000000000001,0.12000000000000016
PC7,0.02000000000000001,0.14000000000000018
PC8,0.02000000000000001,0.1600000000000002
PC9,0.02000000000000001,0.18000000000000022
PC10,0.02000000000000001,0.20000000000000023
