PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.04874706431474763,0.04874706431474763
PC2,0.035975779224254746,0.08472284353900238
PC3,0.032020561846257754,0.11674340538526012
PC4,0.03048856023357243,0.14723196561883256
PC5,0.02921304416571129,0.17644500978454386
PC6,0.027131718870787216,0.20357672865533108
PC7,0.02675755018932953,0.23033427884466062
PC8,0.02539396316999096,0.2557282420146516
PC9,0.023775217125852375,0.279503459140504
PC10,0.023620688117081432,0.30312414725758546
