module,feature,loading,abs_loading,rank_abs
protein_module_001,AGID00317,0.10261059057182384,0.10261059057182384,1
protein_module_001,AGID00327,-0.1008197005685634,0.1008197005685634,2
protein_module_001,AGID00187,-0.09747793152774176,0.09747793152774176,3
protein_module_001,AGID00436,-0.09572082843284153,0.09572082843284153,4
protein_module_001,AGID00340,-0.09542695779728447,0.09542695779728447,5
protein_module_001,AGID00145,-0.09521257759485756,0.09521257759485756,6
protein_module_001,AGID02146,-0.09481835428850496,0.09481835428850496,7
protein_module_001,AGID00246,0.09268045149683901,0.09268045149683901,8
protein_module_001,AGID00270,0.09231050325641431,0.09231050325641431,9
protein_module_001,AGID00511,0.09224394055226147,0.09224394055226147,10
protein_module_001,AGID00227,-0.09182177987232135,0.09182177987232135,11
protein_module_001,AGID00318,0.09179878681698034,0.09179878681698034,12
protein_module_001,AGID00428,0.0916438301912059,0.0916438301912059,13
protein_module_001,AGID00336,-0.09137488971041077,0.09137488971041077,14
protein_module_001,AGID00152,-0.091214446023515,0.091214446023515,15
protein_module_001,AGID00023,-0.09078606168465297,0.09078606168465297,16
protein_module_001,AGID00410,-0.09013123534535421,0.09013123534535421,17
protein_module_001,AGID00009,-0.09007145126513162,0.09007145126513162,18
protein_module_001,AGID00411,-0.09003089316536275,0.09003089316536275,19
protein_module_001,AGID02138,0.08720371079460064,0.08720371079460064,20
protein_module_001,AGID00358,-0.08692458598955607,0.08692458598955607,21
protein_module_001,AGID00315,0.08687618649852986,0.08687618649852986,22
protein_module_001,AGID00403,-0.08687084558623955,0.08687084558623955,23
protein_module_001,AGID00423,-0.08682738873405513,0.08682738873405513,24
protein_module_001,AGID00290,0.086563475514743,0.086563475514743,25
protein_module_002,AGID00168,0.11983538173007995,0.11983538173007995,1
protein_module_002,AGID01354,0.1196497161218036,0.1196497161218036,2
protein_module_002,AGID00297,0.11958379291062934,0.11958379291062934,3
protein_module_002,AGID00019,0.11667118483541718,0.11667118483541718,4
protein_module_002,AGID02133,0.11361442085447998,0.11361442085447998,5
protein_module_002,AGID00530,0.11240808406892375,0.11240808406892375,6
protein_module_002,AGID02208,-0.10391721769610071,0.10391721769610071,7
protein_module_002,AGID00382,0.10187701392747153,0.10187701392747153,8
protein_module_002,AGID02142,0.10168661618531084,0.10168661618531084,9
protein_module_002,AGID00107,0.09890641977739621,0.09890641977739621,10
protein_module_002,AGID00359,-0.0987994530049744,0.0987994530049744,11
protein_module_002,AGID00079,0.09685080166942539,0.09685080166942539,12
protein_module_002,AGID00333,-0.09653339042079713,0.09653339042079713,13
protein_module_002,AGID00520,0.09586045619236426,0.09586045619236426,14
protein_module_002,AGID00022,0.0956326482998662,0.0956326482998662,15
protein_module_002,AGID00304,0.09548732563434806,0.09548732563434806,16
protein_module_002,AGID00246,0.09545522342986223,0.09545522342986223,17
protein_module_002,AGID00184,-0.09425484952801785,0.09425484952801785,18
protein_module_002,AGID00195,0.09358797094602975,0.09358797094602975,19
protein_module_002,AGID00087,0.09344948423487744,0.09344948423487744,20
protein_module_002,AGID00362,0.09123149471132413,0.09123149471132413,21
protein_module_002,AGID00059,0.09092126198943284,0.09092126198943284,22
