module,feature,loading,abs_loading,rank_abs
rna_module_001,USP34,0.01154347028533009,0.01154347028533009,1
rna_module_001,MED13L,0.011531885260550817,0.011531885260550817,2
rna_module_001,MGA,0.011485527933149185,0.011485527933149185,3
rna_module_001,SPTBN1,0.011480791353460959,0.011480791353460959,4
rna_module_001,HERC1,0.011435298078483718,0.011435298078483718,5
rna_module_001,ALMS1,0.011423554120544759,0.011423554120544759,6
rna_module_001,TPR,0.011409235476463607,0.011409235476463607,7
rna_module_001,RALGAPA1P1,0.011360358456187668,0.011360358456187668,8
rna_module_001,AL358115,0.011322829191989014,0.011322829191989014,9
rna_module_001,SHPRH,0.011316045433534523,0.011316045433534523,10
rna_module_001,AC007731,0.011312144719038235,0.011312144719038235,11
rna_module_001,PARGP1,0.01130717075869383,0.01130717075869383,12
rna_module_001,RANBP2,0.011264513333314777,0.011264513333314777,13
rna_module_001,SBNO1,0.011258232412567747,0.011258232412567747,14
rna_module_001,STAG1,0.011238533394663389,0.011238533394663389,15
rna_module_001,RALGAPA1,0.011229206913350413,0.011229206913350413,16
rna_module_001,C11orf42,0.011227099463724705,0.011227099463724705,17
rna_module_001,DDX50P1,0.011215759269513036,0.011215759269513036,18
rna_module_001,LINC00630,0.011213992200509271,0.011213992200509271,19
rna_module_001,HECTD4,0.011205241056450125,0.011205241056450125,20
rna_module_001,POU5F1P4,0.011196663386361942,0.011196663386361942,21
rna_module_001,UBR4,0.011188365713918444,0.011188365713918444,22
rna_module_001,BRWD1,0.011182708995527237,0.011182708995527237,23
rna_module_001,VPS13B,0.011175724525772465,0.011175724525772465,24
rna_module_001,Z68871,0.011161512830337375,0.011161512830337375,25
rna_module_002,SETD1A,0.014832017024023451,0.014832017024023451,1
rna_module_002,FUS,0.014827204499214352,0.014827204499214352,2
rna_module_002,TARDBP,0.014664497524347796,0.014664497524347796,3
rna_module_002,SRSF1,0.014530865150978928,0.014530865150978928,4
rna_module_002,PTBP1,0.014260158510687909,0.014260158510687909,5
rna_module_002,HNRNPL,0.014255462916211844,0.014255462916211844,6
rna_module_002,ATXN2L,0.014142096336629648,0.014142096336629648,7
rna_module_002,HNRNPH3,0.01411405105850539,0.01411405105850539,8
rna_module_002,BZW1P2,0.014027251154910771,0.014027251154910771,9
rna_module_002,POM121C,0.013909916244941279,0.013909916244941279,10
rna_module_002,ZCCHC3,0.013903876448721755,0.013903876448721755,11
rna_module_002,PBX2P1,0.013885357208321441,0.013885357208321441,12
rna_module_002,QRICH1,0.013808728561076159,0.013808728561076159,13
rna_module_002,CREBBP,0.013776849646375643,0.013776849646375643,14
rna_module_002,HMGA1P8,0.013754866404288444,0.013754866404288444,15
rna_module_002,LLGL1,0.013732167741092097,0.013732167741092097,16
rna_module_002,SMARCD1,0.013710810043649395,0.013710810043649395,17
rna_module_002,RBM14,0.013661723681291938,0.013661723681291938,18
rna_module_002,HNRNPA2B1,0.013661385713014411,0.013661385713014411,19
rna_module_002,TMEFF1,0.013621357349923587,0.013621357349923587,20
