node,rank_score,rank_score_mean,rank_score_ci_low,rank_score_ci_high,topk_freq
LF8,0.9822695035460992,0.8744939779418348,0.5705264639639639,0.9953792735042735,1.0
LF5,0.975177304964539,0.9058873767427316,0.6778090473212425,1.0,1.0
LF6,0.9680851063829787,0.8796956521880618,0.6085887716985278,1.0,0.995
LF7,0.9468085106382979,0.8465685770466282,0.5194642857142857,0.9920634920634921,1.0
rna_module_004,0.875886524822695,0.7857178119373507,0.4564583333333334,0.9695027264106212,0.995
rna_module_007,0.8475177304964538,0.7660788951274575,0.35674603174603176,0.9649173806609546,1.0
LF4,0.8262411347517732,0.7790680030688819,0.42823742794673036,0.9563745847176081,1.0
LF2,0.8120567375886525,0.7472282010563801,0.42269736842105265,0.9576365817644887,1.0
rna_module_005,0.8014184397163121,0.7119401686508275,0.2336109365179133,0.939611280487805,0.995
LF3,0.8014184397163121,0.7097469783199668,0.22268865957890352,0.9120431286549706,0.995
rna_module_006,0.7872340425531915,0.7054709203835688,0.21923272357723578,0.9309354432830041,1.0
LF9,0.7872340425531915,0.7191790076056068,0.3321138211382114,0.943321718931475,0.995
rna_module_010,0.7730496453900709,0.6748807554508514,0.17971491228070177,0.9124411638853231,0.99
rna_module_003,0.7446808510638298,0.7012989674763642,0.24671052631578952,0.9487612612612611,0.98
LF10,0.6808510638297872,0.6318159627691001,0.2061882003955175,0.8835087719298246,0.985
rna_module_027,0.6773049645390071,0.5362116094215499,0.1441119691119691,0.7927376485303314,0.98
rna_module_001,0.6453900709219859,0.5978833800034362,0.21881605691056913,0.8508890469416787,0.995
rna_module_025,0.6276595744680852,0.5132935782250613,0.0,0.7917214912280701,0.97
rna_module_011,0.6063829787234042,0.4766376821623197,0.14972222222222223,0.7876589912280701,0.98
rna_module_008,0.5921985815602837,0.5051750519193186,0.0,0.8336538461538463,0.945
rna_module_012,0.5851063829787234,0.35741325090516257,0.0,0.7104649292149293,0.85
protein_module_011,0.5567375886524822,0.441171004722388,0.0,0.7456195175438597,0.945
rna_module_002,0.4822695035460993,0.42335758142207974,0.0,0.7034111721611724,0.935
rna_module_016,0.46453900709219864,0.33446567045632714,0.0,0.61843671679198,0.87
protein_module_004,0.4645390070921986,0.32216650900512633,0.0,0.6624007936507936,0.855
protein_module_007,0.4574468085106383,0.28370080854252827,0.0,0.6036450924608819,0.815
rna_module_019,0.450354609929078,0.3333011065894283,0.0,0.6303014905149051,0.84
rna_module_009,0.450354609929078,0.32510755424399185,0.0,0.6708388157894738,0.85
rna_module_024,0.4432624113475177,0.28956354673189805,0.0,0.6424357284113382,0.83
protein_module_008,0.40070921985815605,0.29920592992460393,0.0,0.6169551282051283,0.88
rna_module_040,0.3333333333333333,0.22284067170732022,0.0,0.38617886178861793,0.63
LF1,0.3333333333333333,0.22284067170732022,0.0,0.38617886178861793,0.63
rna_module_014,0.23758865248226949,0.195158307889089,0.0,0.374157955865273,0.705
rna_module_036,0.2304964539007092,0.18179317877173656,0.0,0.3708648255813954,0.67
rna_module_026,0.22340425531914895,0.1710978870024811,0.0,0.3684584937954643,0.635
protein_module_016,0.2163120567375886,0.14121106247848755,0.0,0.3288346038346039,0.6
rna_module_013,0.20921985815602837,0.1472563889590601,0.0,0.3251067073170732,0.62
rna_module_023,0.20212765957446807,0.16976829931743484,0.0,0.3632675438596491,0.665
protein_module_001,0.19503546099290778,0.1588504354561767,0.0,0.33781798245614036,0.68
protein_module_012,0.1879432624113475,0.15011850274997335,0.0,0.316260162601626,0.675
rna_module_017,0.18085106382978722,0.15634350084061965,0.0,0.3334349593495935,0.665
comp2,0.17375886524822692,0.1473763111922686,0.0,0.30894308943089427,0.665
protein_module_014,0.16666666666666666,0.14213915044063025,0.0,0.31811021665672834,0.655
protein_module_013,0.15957446808510636,0.12172731420662579,0.0,0.31340942255576415,0.555
protein_module_009,0.15248226950354607,0.12456844935912464,0.0,0.30712719298245617,0.6
rna_module_015,0.1453900709219858,0.13016780026334282,0.0,0.32559523809523816,0.615
protein_module_010,0.1382978723404255,0.12651654761747644,0.0,0.2919969512195123,0.64
